"ID"	"R1.D10"	"R1.D21"
"a47869"	2.73145833013532e-08	1.18864092680533e-07
"a479074"	1.05356249876648e-07	4.75456370722132e-07
"a479107"	4.29229166164122e-08	2.99537513554943e-07
"a479445"	2.45831249712179e-07	4.75456370722132e-07
"a479747"	3.90208332876474e-09	9.50912741444264e-08
"a479815"	3.08264582972415e-07	5.7530220857378e-07
"a480025"	1.91202083109472e-07	2.23464494239402e-07
"a480128"	2.49733333040943e-07	6.18093281938772e-07
"a480305"	3.90208332876474e-08	9.03367104372051e-08
"a480639"	3.51187499588827e-09	2.99537513554943e-07
"a480699"	1.17062499862942e-08	4.27910733649919e-09
"a480866"	3.12166666301179e-08	2.37728185361066e-08
"a480874"	1.17062499862942e-07	3.89874223992148e-07
"a481129"	1.24866666520472e-07	2.85273822433279e-07
"a481257"	2.73145833013532e-08	1.23618656387754e-07
"a481328"	1.17062499862942e-08	9.50912741444264e-09
"a481560"	3.12166666301179e-08	3.75610532870484e-07
"a481732"	6.24333332602359e-08	2.94782949847722e-07
"a482563"	7.02374999177653e-08	8.55821467299838e-07
"a482630"	3.08264582972415e-07	1.04124945188147e-06
"a482633"	2.65341666356002e-07	1.47391474923861e-06
"a482650"	4.83858332766828e-07	1.0935496526609e-06
"a482669"	2.73145833013532e-08	2.85273822433279e-08
"a482900"	2.73145833013532e-08	1.47391474923861e-07
"a483021"	1.17062499862942e-07	1.11256790748979e-06
"a483051"	1.5608333315059e-08	5.23002007794345e-08
"a483554"	3.51187499588827e-08	5.23002007794345e-08
"a483571"	1.63887499808119e-07	1.23618656387754e-07
"a483634"	8.58458332328243e-08	1.66409729752746e-07
"a483719"	2.61439583027238e-07	5.51529390037673e-07
"a48379"	1.5608333315059e-08	1.90182548288853e-08
"a484321"	1.63887499808119e-06	2.02544413927628e-06
"a484577"	1.5608333315059e-08	9.03367104372051e-08
"a484592"	4.28058541165492e-06	5.85286792358945e-06
"a484829"	3.90208332876474e-08	1.14109528973312e-07
"a48486"	3.51187499588827e-08	6.65638919010985e-08
"a484965"	4.29229166164122e-08	2.90028386140501e-07
"a485176"	8.9747916561589e-08	3.80365096577706e-07
"a485241"	6.63354165890006e-08	1.52146038631082e-07
"a485283"	5.07270832739416e-08	3.32819459505492e-08
"a485319"	1.95104166438237e-08	3.80365096577706e-08
"a485425"	1.32670833178001e-07	2.09200803117738e-07
"a485526"	3.51187499588827e-08	3.80365096577706e-08
"a485545"	1.91202083109472e-07	2.42482749068287e-07
"a485994"	3.90208332876474e-09	2.85273822433279e-08
"a486269"	2.73145833013532e-08	1.66409729752746e-07
"a486279"	1.5608333315059e-08	6.18093281938772e-08
"a486351"	6.63354165890006e-08	4.27910733649919e-08
"a486501"	4.29229166164122e-08	2.66255567604394e-07
"a486845"	3.51187499588827e-09	2.37728185361066e-07
"a487234"	1.17062499862942e-08	1.28373220094976e-07
"a487308"	3.90208332876474e-08	2.09200803117738e-07
"a48740"	8.58458332328243e-08	3.66101405456042e-07
"a487657"	5.85312499314711e-08	5.70547644866559e-08
"a488597"	1.91202083109472e-07	2.94782949847722e-07
"a488977"	1.05356249876648e-07	1.14109528973312e-07
"a489027"	5.85312499314711e-08	1.61655166045525e-07
"a489204"	1.95104166438237e-08	1.56900602338304e-07
"a489240"	3.51187499588827e-09	4.27910733649919e-09
"a489550"	1.17062499862942e-08	1.71164293459968e-07
"a489700"	3.90208332876474e-08	5.70547644866559e-08
"a489779"	3.51187499588827e-09	1.61655166045525e-07
"a489950"	2.73145833013532e-08	6.18093281938772e-08
"a490042"	1.17062499862942e-07	2.09200803117738e-07
"a490222"	1.75593749794413e-07	6.466206641821e-07
"a490685"	5.3458541604077e-07	9.98458378516477e-07
"a490850"	1.44377083164295e-07	4.3266529735714e-07
"a491515"	4.07767707855915e-06	5.69121275754392e-06
"a491727"	1.52181249821825e-07	1.28373220094976e-07
"a491875"	3.82404166218945e-07	3.85119660284927e-07
"a492417"	9.75520832191185e-08	8.08275830227625e-08
"a492464"	2.73145833013532e-08	5.70547644866559e-08
"a492559"	9.75520832191185e-08	1.0935496526609e-07
"a492947"	7.80416665752948e-09	1.85427984581632e-07
"a493105"	1.95104166438237e-08	7.60730193155411e-08
"a493458"	2.34124999725884e-08	4.27910733649919e-09
"a493603"	1.99006249767002e-07	4.42174424771583e-07
"a493795"	2.34124999725884e-08	1.90182548288853e-08
"a493874"	7.80416665752948e-09	4.75456370722132e-09
"a494002"	7.80416665752948e-09	2.04446239410517e-07
"a494010"	1.09258333205413e-07	3.28064895798271e-07
"a49417"	7.80416665752948e-09	2.37728185361066e-07
"a494397"	3.51187499588827e-09	1.8067342087441e-07
"a494697"	2.34124999725884e-08	4.27910733649919e-08
"a494785"	1.55302916484837e-06	2.63402829380061e-06
"a494959"	5.46291666027064e-08	1.52146038631082e-07
"a495200"	6.24333332602359e-08	3.70855969163263e-07
"a495228"	5.85312499314711e-08	6.41866100474878e-07
"a495589"	2.73145833013532e-08	1.8067342087441e-07
"a496402"	3.90208332876474e-09	7.13184556083198e-08
"a496707"	8.58458332328243e-08	2.28219057946623e-07
"a496718"	1.95104166438237e-08	1.37882347509418e-07
"a496838"	5.85312499314711e-08	5.08738316672681e-07
"a496840"	3.51187499588827e-08	2.18709930532181e-07
"a496991"	5.46291666027064e-08	8.08275830227625e-08
"a497644"	1.78325208124549e-06	2.0301987029835e-06
"a497681"	3.90208332876474e-08	1.23618656387754e-07
"a498087"	1.51400833156072e-06	2.66731023975116e-06
"a498128"	1.4827916649306e-07	3.75610532870484e-07
"a498549"	5.07270832739416e-08	2.37728185361066e-08
"a498721"	3.51187499588827e-09	3.32819459505492e-08
"a498743"	5.07270832739416e-08	6.18093281938772e-08
"a498791"	3.90208332876474e-08	8.55821467299838e-08
"a498867"	7.02374999177653e-08	2.13955366824959e-07
"a49928"	2.34124999725884e-08	1.8067342087441e-07
"a499744"	1.06136666542401e-06	1.160113544562e-06
"a50331"	3.12166666301179e-08	1.99691675703295e-07
"a50354"	1.36572916506766e-07	3.32819459505492e-07
"a51199"	5.07270832739416e-08	3.13801204676607e-07
"a51253"	1.77154583125919e-06	2.13955366824959e-06
"a5137"	1.95104166438237e-08	1.4263691121664e-08
"a51383"	4.68249999451769e-08	2.47237312775509e-07
"a51788"	1.17062499862942e-07	3.18555768383828e-07
"a5236"	3.51187499588827e-08	9.50912741444264e-08
"a52388"	5.07270832739416e-08	3.89874223992148e-07
"a52452"	6.63354165890006e-08	2.75764695018837e-07
"a52678"	6.63354165890006e-08	1.4263691121664e-07
"a52797"	3.90208332876474e-08	9.50912741444264e-08
"a5282"	1.5608333315059e-08	1.4263691121664e-08
"a52873"	2.34124999725884e-08	8.08275830227625e-08
"a53037"	3.51187499588827e-08	5.23002007794345e-08
"a53071"	3.51187499588827e-08	2.09200803117738e-07
"a53440"	3.90208332876474e-09	2.85273822433279e-08
"a53494"	4.68249999451769e-08	2.13955366824959e-07
"a53497"	1.55693124817713e-06	1.68311555235635e-06
"a5358"	1.40474999835531e-07	3.13801204676607e-07
"a53685"	7.80416665752948e-09	7.60730193155411e-08
"a53710"	2.73145833013532e-08	5.70547644866559e-08
"a54181"	7.84318749081713e-07	1.3598052202653e-06
"a54592"	4.07767707855915e-06	4.98753732887517e-06
"a54848"	9.75520832191185e-08	2.04446239410517e-07
"a55238"	2.88754166328591e-07	8.03521266520403e-07
"a55611"	6.24333332602359e-08	1.56900602338304e-07
"a55900"	5.59168541011987e-06	5.64366712047171e-06
"a56274"	3.51187499588827e-09	5.70547644866559e-08
"a56381"	8.07731249054301e-07	9.60421868858707e-07
"a56586"	9.75520832191185e-07	1.04600401558869e-06
"a56706"	1.58034374814972e-06	2.49139138258397e-06
"a56719"	1.95104166438237e-08	6.65638919010985e-08
"a57265"	4.48739582807945e-07	7.46466502033747e-07
"a5742"	8.54556248999478e-07	1.20765918163422e-06
"a57487"	6.55549999232476e-07	1.20290461792699e-06
"a57868"	2.73145833013532e-08	1.0935496526609e-07
"a5831"	7.41395832465301e-08	1.04600401558869e-07
"a59240"	7.99927082396772e-07	7.94012139105961e-07
"a59545"	1.10428958204042e-06	1.35505065655808e-06
"a59785"	1.05356249876648e-06	1.28373220094976e-06
"a59825"	2.55196249701214e-06	2.02544413927628e-06
"a59929"	2.34124999725884e-08	9.50912741444264e-09
"a60119"	2.73145833013532e-08	5.23002007794345e-08
"a60184"	7.80416665752948e-09	9.50912741444264e-08
"a60476"	9.40402082232303e-07	1.69737924347801e-06
"a60540"	2.73145833013532e-08	6.18093281938772e-08
"a60616"	4.70201041116151e-06	5.22051095052901e-06
"a61072"	8.9747916561589e-08	3.51837714334378e-07
"a61240"	7.41395832465301e-08	3.47083150627156e-07
"a61562"	3.90208332876474e-09	4.27910733649919e-09
"a61776"	5.07270832739416e-08	9.50912741444264e-08
"a61948"	4.29229166164122e-08	3.51837714334378e-07
"a62215"	9.75520832191185e-08	2.47237312775509e-07
"a62339"	3.90208332876474e-09	1.75918857167189e-07
"a62394"	5.03368749410652e-07	6.75148046425428e-07
"a62576"	7.80416665752948e-08	2.85273822433279e-08
"a62680"	2.48172499709438e-06	3.00488426296387e-06
"a63442"	2.34124999725884e-08	1.4263691121664e-08
"a63496"	1.17062499862942e-08	1.0935496526609e-07
"a63680"	2.34124999725884e-08	8.08275830227625e-08
"a63978"	5.85312499314711e-08	6.65638919010985e-08
"a64112"	3.12166666301179e-08	7.60730193155411e-08
"a64341"	1.01454166547883e-07	1.47391474923861e-07
"a64454"	3.51187499588827e-09	9.50912741444264e-09
"a64540"	3.12166666301179e-08	1.99691675703295e-07
"a64687"	1.5608333315059e-08	7.60730193155411e-08
"a64842"	1.17062499862942e-08	9.50912741444264e-08
"a6494"	6.63354165890006e-08	1.14109528973312e-07
"a65074"	4.68249999451769e-08	1.37882347509418e-07
"a65239"	3.90208332876474e-09	3.32819459505492e-08
"a65242"	5.46291666027064e-08	2.42482749068287e-07
"a65665"	5.46291666027064e-08	4.75456370722132e-09
"a6624"	8.19437499040596e-08	2.75764695018837e-07
"a66266"	3.12166666301179e-08	1.61655166045525e-07
"a66667"	3.90208332876474e-09	6.18093281938772e-08
"a66927"	1.20964583191707e-07	2.42482749068287e-07
"a67160"	2.73145833013532e-08	4.75456370722132e-08
"a67763"	1.1394083319993e-06	1.91133461030297e-06
"a67795"	1.95104166438237e-07	2.66255567604394e-07
"a67950"	1.95104166438237e-08	7.60730193155411e-08
"a68068"	7.41395832465301e-08	1.28373220094976e-07
"a68403"	2.50903958039573e-06	2.77191064131003e-06
"a68455"	1.5608333315059e-08	4.75456370722132e-08
"a68486"	3.12166666301179e-08	2.37728185361066e-07
"a68920"	1.67009166471131e-06	1.6736064249419e-06
"a69475"	1.20964583191707e-07	2.99537513554943e-07
"a69585"	7.41395832465301e-08	3.2331033209105e-07
"a69818"	2.73145833013532e-08	2.18709930532181e-07
"a69964"	1.12379999868425e-06	7.84503011691518e-07
"a70136"	6.63354165890006e-08	1.56900602338304e-07
"a70281"	2.47001874710808e-06	3.15227573788774e-06
"a70286"	4.68249999451769e-08	5.70547644866559e-08
"a7030"	5.46291666027064e-08	2.09200803117738e-07
"a70461"	4.21424999506592e-07	7.60730193155411e-07
"a70799"	4.68249999451769e-08	3.66101405456042e-07
"a70911"	2.92266041324479e-06	2.61976460267895e-06
"a71099"	3.90208332876474e-08	1.4263691121664e-07
"a71303"	5.85312499314711e-07	1.03649488817425e-06
"a71329"	3.90208332876474e-09	1.4263691121664e-08
"a71432"	1.52181249821825e-07	2.66255567604394e-07
"a71553"	5.46291666027064e-08	3.37574023212714e-07
"a72199"	6.24333332602359e-08	1.99691675703295e-07
"a72208"	9.44304165561067e-07	1.04600401558869e-06
"a72602"	3.66015416238133e-06	3.51837714334378e-06
"a72661"	3.12166666301179e-07	3.09046640969386e-07
"a72679"	4.29229166164122e-08	9.50912741444264e-09
"a73309"	3.51187499588827e-08	4.13647042528255e-07
"a7394"	3.51187499588827e-08	2.42482749068287e-07
"a74680"	3.51187499588827e-09	9.03367104372051e-08
"a74767"	3.51187499588827e-08	9.50912741444264e-09
"a74875"	3.12166666301179e-08	1.94937111996074e-07
"a75120"	4.55763332799722e-06	4.26959820908475e-06
"a75173"	3.90208332876474e-09	2.37728185361066e-08
"a7538"	3.51187499588827e-09	1.4263691121664e-08
"a75544"	5.46291666027064e-08	1.71164293459968e-07
"a75868"	3.90208332876474e-08	1.33127783802197e-07
"a76265"	2.02908333095767e-07	1.47391474923861e-07
"a76809"	7.41395832465301e-08	3.66101405456042e-07
"a76865"	2.73145833013532e-08	1.18864092680533e-07
"a76881"	5.85312499314711e-08	2.18709930532181e-07
"a77666"	2.06810416424531e-07	2.5199187648273e-07
"a77708"	1.63887499808119e-07	3.04292077262165e-07
"a7778"	6.63354165890006e-08	3.2331033209105e-07
"a77973"	1.05356249876648e-07	3.80365096577706e-07
"a78116"	3.90208332876474e-08	2.42482749068287e-07
"a78284"	3.12166666301179e-08	3.51837714334378e-07
"a78693"	4.68249999451769e-08	1.94937111996074e-07
"a7891"	3.90208332876474e-08	8.55821467299838e-08
"a79038"	3.66795832903886e-07	5.0398375296546e-07
"a79147"	5.46291666027064e-08	1.18864092680533e-07
"a7927"	5.07270832739416e-07	8.22539521349289e-07
"a79285"	9.75520832191185e-08	2.18709930532181e-07
"a79309"	7.80416665752948e-08	2.75764695018837e-07
"a79399"	2.73145833013532e-08	3.32819459505492e-08
"a79418"	2.73145833013532e-08	9.03367104372051e-08
"a79560"	1.17062499862942e-08	1.8067342087441e-07
"a7968"	3.23872916287473e-07	3.42328586919935e-07
"a79757"	6.24333332602359e-08	4.08892478821034e-07
"a79832"	4.65128332788757e-06	5.42495718993953e-06
"a80002"	6.24333332602359e-08	1.56900602338304e-07
"a8034"	8.9747916561589e-08	5.61038517452116e-07
"a80375"	4.09718749520298e-07	7.51221065740969e-07
"a81238"	1.28768749849236e-07	4.3266529735714e-07
"a81509"	3.90208332876474e-08	2.37728185361066e-08
"a81511"	6.04042499292782e-06	5.79581315910279e-06
"a81596"	4.68249999451769e-08	9.03367104372051e-08
"a81608"	7.80416665752948e-09	1.99691675703295e-07
"a81925"	3.51187499588827e-09	1.4263691121664e-08
"a82015"	4.79956249438063e-07	1.03174032446703e-06
"a82088"	8.58458332328243e-08	1.37882347509418e-07
"a83127"	1.67789583136884e-07	3.70855969163263e-07
"a83705"	3.51187499588827e-08	7.60730193155411e-08
"a83917"	3.51187499588827e-08	3.2331033209105e-07
"a84159"	2.73145833013532e-08	9.98458378516477e-08
"a84216"	9.36499998903538e-08	1.52146038631082e-07
"a84303"	2.69243749684767e-07	4.08892478821034e-07
"a8484"	2.34124999725884e-08	1.14109528973312e-07
"a84842"	1.36572916506766e-07	5.18247444087124e-07
"a84933"	3.51187499588827e-08	1.37882347509418e-07
"a8512"	4.68249999451769e-08	1.75918857167189e-07
"a85292"	3.51187499588827e-09	4.27910733649919e-09
"a8576"	5.13123957732563e-06	5.82434054134612e-06
"a85989"	2.34124999725884e-08	1.85427984581632e-07
"a86063"	5.85312499314711e-08	1.28373220094976e-07
"a86149"	9.75520832191185e-08	5.70547644866559e-08
"a86343"	1.09258333205413e-07	9.03367104372051e-08
"a86387"	9.75520832191185e-08	3.32819459505492e-07
"a86808"	4.29229166164122e-08	2.85273822433279e-08
"a86851"	3.51187499588827e-09	2.75764695018837e-07
"a87393"	6.24333332602359e-08	5.13492880379903e-07
"a87435"	5.85312499314711e-08	4.3266529735714e-07
"a87747"	1.5608333315059e-08	2.37728185361066e-08
"a88258"	3.90208332876474e-08	1.94937111996074e-07
"a883"	3.51187499588827e-08	2.09200803117738e-07
"a88354"	3.31677082945003e-07	3.56592278041599e-07
"a89098"	1.0184437488076e-06	1.43587823958084e-06
"a89194"	1.99006249767002e-07	2.71010131311615e-07
"a89361"	5.07270832739416e-08	2.23464494239402e-07
"a8983"	4.29229166164122e-08	1.28373220094976e-07
"a89847"	3.51187499588827e-08	2.23464494239402e-07
"a89972"	3.90208332876474e-09	6.18093281938772e-08
